Trial ID,Protocol/Trial ID,Trial Title,Trial Phase,TT_Trial Status,Therapeutic Area,Disease,MeSH Term,TT_Sponsor/Collaborator,Sponsor/Collaborator Type,Sponsor/Collaborator: Parent HQ Country,Primary Tested Drug,Primary Tested Drug: Mechanism Of Action,Primary Tested Drug: Target_truncated,Primary Tested Drug: Therapeutic Class,Primary Tested Drug: Drug Type,Other Tested Drug,Other Tested Drug: Mechanism of Action_truncated,Other Tested Drug: Target_trucated,Other Tested Drug: Therapeutic Class_truncated,Other Tested Drug: Drug Type,Oncology Biomarker,Oncology Biomarker Common Use(s),Primary Endpoint,Primary Endpoint Group_truncated,Primary Endpoint Details_truncated,Secondary/Other Endpoint,Secondary / Other Endpoint Group_truncated,Secondary / Other Endpoint details_truncated,Start Date,Treatment Duration (Mos.),Primary Completion Date,Primary Completion Date Type,Full Completion Date,Primary Endpoints Reported Date,Primary Endpoints Reported Date Type,Pts/Site/Mo,Patient Gender,Patient Age Group,Min Patient Age,Min Patient Age Unit,Max Patient Age,Max Patient Age Unit,Target Accrual,Actual Accrual (No. of patients),Actual Accrual (% of Target),Reported Sites,Identified Sites,Trial Region,Countries,Countries Count,ClinicalTrials.gov Location Country,ClinicalTrials.gov Sites Count,Prior/Concurrent Therapy_truncated,Treatment Plan,Study Keywords,TT_Study Design,Decentralized (DCT) Attributes,Associated CRO,Last Modified Date,NCT Code position,NCT Code,Bain_Cleaned Sponsor/Collaborator Type,NCT id,CT_Study Title,CT_Study Status,interventions,Bain_Lead Sponsor1,Bain_Lead Sponsor2
501437,Jrcts031230485 Trialtroveid-501437,Exploratory Research On Therapeutic Optimization Parameters For Upadacitinib By Single-cell Analysis Of Synovial Tissue And Peripheral Blood From Rheumatoid Arthritis And Psoriatic Arthritis Patients,Ii,Open,Autoimmune/Inflammation,Autoimmune/Inflammation: Other Inflammatory Arthritis; Autoimmune/Inflammation: Rheumatoid Arthritis,Arthritis; Psoriatic Arthritis; Rheumatoid Arthritis,AbbVie,"Industry, Top 20 Pharma",United States,Upadacitinib (Tablet),Janus kinase 1 inhibitor,Janus Kinase 1,"Gi Inflammatory/Bowel Disorders; Antipruritic/Inflamm, Allergic; Dermatological; Immunosuppressant; Anti-inflammatory; Antiarthritic, Other",Small molecule > Synthetic small molecule,"","","","","",Plau,Diagnostic; Predisposing; Prognostic,Acr50,Efficacy > Patient Assessment Instruments (Efficacy),Acr50 Achievement Rate At 12 Weeks Of Upa Administration Based On The Immunological Phenotype (Synovial Tissue Type) Of The Joint Synovium.,Acr20 Acr50 Acr70,Efficacy > Patient Assessment Instruments (Efficacy) Efficacy > Patient Assessment Instruments (Efficacy) Efficacy > Patient Assessment Instruments (Efficacy),(1). Acr20/70 Achievement Rates At 12 Weeks Of Upa Administration Based On Each Synovial Tissue Type. (2). Acr20/50/70 Achievement Rates At 4 Weeks Of Upa Administration Based On Each Synovial Tissue Type. (3). Improvement Rates Of Acr Components At 4 And,2023-12-25,3,2027-03-31,Anticipated,"","","",1.11,Both,Adults; Older Adults,18,Year(S),"","",40,"","",1,1,Asia,Japan,1,"","","","UPA 15mg is administered orally once a day. At the 12-week mark after initiation of administration, if there is no improvement of 20% or more in TJC and SJC from the start of administration, treatment optimization will be performed based on the ""Rheumatoid Arthritis Treatment Guidelines 2020"" in Japan, as determined by the treating physician. Regardless of the continuation of UPA, all patients will be tracked for a research treatment period from the start of UPA administration to 24 weeks.",Efficacy; Open Label; Single Arm,"This is an interventional, single arm, open label, efficacy, uncontrolled control, single assignment, exploratory research study.","","",2025-06-23 08:12:21,-1,NO NCT CODE,Industry,,,,,AbbVie,
267547,Eudract Number: 2012-003448-54 Trialtroveid-267547,"A Randomized, Placebo-controlled And Multiple Dose Study On Evaluation Of Safety, Tolerability And Pharmacodynamics Of Abt-122 In Subjects With Rheumatoid Arthritis",I,Completed,Autoimmune/Inflammation,Autoimmune/Inflammation: Rheumatoid Arthritis,"Arthritis, Rheumatoid; Rheumatoid Arthritis",AbbVie,"Industry, Top 20 Pharma",United States,Abt-122,Interleukin 17 antagonist; Tumour necrosis factor alpha antagonist,Interleukin 17a; Tumor Necrosis Factor,"Antipsoriasis; Antiarthritic, Immunological",Biological > Protein > Antibody > Non-monoclonal antibody,Methotrexate,Immunosuppressant; Dihydrofolate Reductase Inhibitor; Thymidylate Synthase Inhibitor,Dihydrofolate Reductase; Thymidylate Synthetase,"Anticancer, Antimetabolite; Antipsoriasis; Antiarthritic, Immunological",Small molecule > Synthetic small molecule,"","",Safety And Tolerability,Safety/Toxicity > Safety/Tolerability,"","","","",2013-03-21,"",2014-06-02,Actual,"",2015-09-29,Actual,"",N/A,"","","","","","",24,"",1,"",Europe; Western Europe,Germany,1,"","","","Subjects were subcutaneously administered with ABT-122 or placebo.
patients were randomized 3:1 to receive subcutaneous ABT-122 1 mg/kg every other week, 1.5 mg/kg every week, or 3 mg/kg every week or placebo for 8 weeks .",Multiple Ascending Dose; Pharmacodynamics; Placebo Control; Randomized; Safety,"This was a safety, tolerability, exploratory pharmacodynamic, placebo-controlled, randomized and multiple ascending dose study.","","",2018-02-09 02:45:43,-1,NO NCT CODE,Industry,,,,,AbbVie,
257452,M12-199 Trialtroveid-257452,"A Phase 1, Open-label Study To Assess The Pharmacokinetics, Safety And Tolerability Of The Coadministration Of Omeprazole With Combination Therapy Of Abt-450, Ritonavir, Abt-267 (Abt-450/R/Abt-267) With And Without Abt-333 In Healthy Adult Subjects (M12-199)",I,Completed,Infectious Disease,Infectious Disease: Hcv,Hepatitis C,AbbVie,"Industry, Top 20 Pharma",United States,Dasabuvir (Tablet) Ombitasvir + Paritaprevir + Ritonavir,"HCV nonstructural protein 5B inhibitor
Cytochrome P450 inhibitor; HIV protease inhibitor; HCV nonstructural protein 3 inhibitor; HCV nonstructural protein 5A inhibitor; HCV nonstructural protein 4A inhibitor; HCV nonstructural protein inhibitor","Polyprotein, Hepatitis-c Virus Cytochrome P450 Family 3 Subfamily A Member 4; Gag-pol, Hiv-1; Polyprotein, Hepatitis-c Virus","Antiviral, Other Antiviral, Other","Small molecule; Small molecule > Synthetic small molecule
Reformulation > Fixed-dose combination","Omeprazole, Unspecified",H+ K+ Transporting Atpase Inhibitor,"",Antispasmodic; Antiulcer,Small molecule > Synthetic small molecule,Cyp2c19,Predictive; Predisposing; Prognostic,Safety And Tolerability,Safety/Toxicity > Safety/Tolerability,"","","","",2013-04-04,0.79,2013-06-04,Actual,"",2014-04-21,Actual,20.34,Both,Adults,18,Year(S),55,Year(S),24,24,100,1,"",(N/A),"","","","","","Subjects were randomized to receive anyone of the following interventions

Arm 1:  Subjects received a single dose of 40 mg of omeprazole on Day 1 followed by a washout period for 5 days (Study Days 2 through 5). Starting on Study Day 6, ABT 450/r/ABT-267 150/100/25 mg was administered once daily (QD) and ABT -333 250 mg was administered twice daily (BID) for 19 days (Study Days 6 through 24). Starting on Study Day 20, 40 mg of omeprazole was administered QD for
5 days (Study Days 20 through 24)

Arm 2: Subjects received single dose of 40 mg of omeprazole on Day 1 followed by a washout period for 5 days (Study Days 2 through 5). Starting on Study Day 6, ABT 450/r/ABT-267
150/100/25 mg was administered QD for 19 days (Study Days 6 through 24) and starting on Study Day 20, 40 mg of omeprazole was administered QD for 5 days (Study Days 20 through 24).

Each dose of DAAs was taken orally with water approximately 30 minutes after the start of breakfast for all morning doses and approximately 30 minutes after the start of the evening snack for the evening dose of ABT -333 (Arm 1). On Study Days 1, 20, and 21, omeprazole was administered approximately 30 minutes after the start of breakfast, and at the same time as the DAAs on Study Days 20 and 21. On Study Days 22 through 24, each dose of omeprazole was taken orally with water approximately 1 hour before the start of breakfast.

Intensive PK sampling was performed for study drugs when dosed alone and during coadministration and parameters were estimated. Safety was evaluated through assessment of adverse events, vital signs, ECG and clinical laboratory tests.",Drug-drug Interaction; Open Label; Pharmacokinetics; Randomized; Safety,"This was an open label, drug-drug interaction, single center, randomized, multiple-dose, single dose, pharmacokinetics, safety and tolerability study.","","",2018-02-02 13:31:33,-1,NO NCT CODE,Industry,,,,,AbbVie,
342669,3390-4 Trialtroveid-342669,"A Randomized, Controlled Clinical Trial On The Efficacy And Safety Of Orilissa In Women With Moderate To Severe Pain Associated With Endometriosis",Iv,Terminated,Genitourinary,Genitourinary: Contraception; Genitourinary: Endometriosis,Contraception; Endometriosis,AbbVie,"Industry, Top 20 Pharma",United States,Elagolix (Tablet),Luteinizing hormone releasing hormone (LHRH) antagonist; Progesterone receptor agonist; Estrogen receptor agonist,Estrogen Receptor 1; Estrogen Receptor 2; Gonadotropin Releasing Hormone Receptor; Nuclear Receptor Subfamily 3 Group C Member 2; Progesterone Receptor,"Anticancer, Hormonal; Fertility Enhancer; Menstruation Disorders; Prostate Disorders",Small molecule; Small molecule > Synthetic small molecule,Undisclosed - Hormonal Contraception,Progesterone Receptor Agonist; Estrogen Receptor Agonist,"",Female Contraceptive; Hormone,Small molecule > Synthetic small molecule,"","",Safety And Tolerability,Safety/Toxicity > Safety/Tolerability,"","","","","","","","","","","","",Female,"","","","","","","","","","",(N/A),"","","","","",Subjects will receive elagolix sodium.,Efficacy; Randomized; Safety,"This is a randomized, controlled, efficacy, safety study.","","",2021-02-24 06:21:55,-1,NO NCT CODE,Industry,,,,,AbbVie,
403107,Trialtroveid-403107,Evaluation Of Pharmacokinetic Interactions And Safety Of Atogepant Coadministered With Quinidine Gluconate,I,Completed,Cns,Cns: Migraine,Migraine Disorders,AbbVie,"Industry, Top 20 Pharma",United States,"Quinidine Gluconate, Injection Atogepant","Alpha adrenoreceptor antagonist; Sodium channel antagonist
Calcitonin receptor-like receptor antagonist; Calcitonin gene-related peptide inhibitor",Calcitonin Receptor Like Receptor; Calcitonin Related Polypeptide Alpha,Antiarrhythmic Antimigraine,"Small molecule > Synthetic small molecule
Small molecule; Small molecule > Synthetic small molecule","","","","","",Cyp2d6,Predictive; Predisposing; Prognostic,Safety And Tolerability,Safety/Toxicity > Safety/Tolerability,"","","","","","","","","",2021-04-13,Actual,"",Both,Adults,"","","","","",33,"",1,"",(N/A),"","","","","","AAN 2021:
Patients received atogepant 60mg on day 1, quinidine gluconate 324mg twice-daily on day 8, and 648mg twice-daily on days 9?12, with atogepant 60mg coadministered on day 11. Plasma samples were collected on days 1 and 11.",Drug-drug Interaction; Open Label; Pharmacokinetics; Safety,"This is Pharmacokinetic, Safety, phase 1, single-center, single-sequence, open-label, 2-intervention, drug-drug interaction study","","",2025-07-10 06:50:07,-1,NO NCT CODE,Industry,,,,,AbbVie,
257358,M12-115 Trialtroveid-257358,"An Open-label, Randomized, 2-period Crossover, Single Dose, Clinical Study To Evaluate Dosage Form Effect On Bioavailability Of Abt-267 In Healthy Subjects",I,Completed,Infectious Disease,Infectious Disease: Hcv,Hepatitis C,AbbVie,"Industry, Top 20 Pharma",United States,Ombitasvir,HCV nonstructural protein 5A inhibitor,"Polyprotein, Hepatitis-c Virus","Antiviral, Other",Small molecule > Synthetic small molecule,"","","","","","","",Bioavailability,Pharmacokinetics/Pharmacodynamics > Pk/Pd,"","","","","","","","","","","","",N/A,"","","","","","",12,"","","",(N/A),"","","","","",Subjects were randomized to receive single dose of 25 mg of ABT-267 HME tablet and ABT-267 SDD tablet in a crossover fashion.,Bioavailability; Cross Over; Open Label; Randomized,"This was an open-label, randomized, 2-period crossover, bioavailability, single dose, dosage form effect study.","","",2015-05-14 07:01:47,-1,NO NCT CODE,Industry,,,,,AbbVie,
209730,Trialtroveid-209730,"A Randomized, Partial Crossover, 4-period, Bioequivalence And Bioavailability Study Of The Powder To The Norvir Oral Solution In Hiv-negative Adult Subjects",Iv,Completed,Infectious Disease,Infectious Disease: Hiv,HIV Infections; HIV Seropositivity,AbbVie,"Industry, Top 20 Pharma",United States,Ritonavir (Solution) Ritonavir (Powder),"Cytochrome P450 inhibitor; HIV protease inhibitor
Cytochrome P450 inhibitor; HIV protease inhibitor","Cytochrome P450 Family 3 Subfamily A Member 4; Gag-pol, Hiv-1 Cytochrome P450 Family 3 Subfamily A Member 4; Gag-pol, Hiv-1","Alimentary/Metabolic, Other; Antiviral, Anti-hiv Alimentary/Metabolic, Other; Antiviral, Anti-hiv","Biological > Peptide; Small molecule > Synthetic small molecule
Biological > Peptide; Small molecule > Synthetic small molecule","","","","","","","",Bioavailability,Pharmacokinetics/Pharmacodynamics > Pk/Pd,"","","","","","","","","",2014-05-19,Actual,"",N/A,Adults,"","","","","",48,"","","",(N/A),"","","","","","Subjects were randomized to receive the following treatment in cross over fashion.

In Period 1 and 2, all subjects received the powder formulation in water and the oral solution following a moderate-fat meal. In Period 3 and 4, 24 subjects received the powder formulation in water under fasting conditions and following a high-fat meal and 24 subjects received the powder formulation in either chocolate milk or pudding following a moderate-fat meal.",Bioavailability; Bioequivalence; Cross Over; Pharmacokinetics; Randomized,"This was a randomized, partial crossover, 4-period, pharmacokinetics, bioequivalence and bioavailability study.","","",2023-03-04 19:50:26,-1,NO NCT CODE,Industry,,,,,AbbVie,
215973,M13-492 Trialtroveid-215973,"A Safety, Tolerability, Pharmacokinetics, Open-label, Randomized, Drug-drug Interaction Study Of 2- Or 3- Direct Acting Antiviral Regimen Of Abt-450/R, Ombitasvir And Dasabuvir Coadministered With Lpv/R In Healthy Subjects",I,Completed,Infectious Disease,Infectious Disease: Hcv,Hepatitis C,AbbVie,"Industry, Top 20 Pharma",United States,"Ritonavir, Soft Gel-2 Paritaprevir (Tablet) Ombitasvir Dasabuvir (Tablet)","Cytochrome P450 inhibitor; HIV protease inhibitor
HCV nonstructural protein 3 inhibitor; HCV nonstructural protein 4A inhibitor
HCV nonstructural protein 5A inhibitor
HCV nonstructural protein 5B inhibitor","Cytochrome P450 Family 3 Subfamily A Member 4; Gag-pol, Hiv-1 Polyprotein, Hepatitis-c Virus Polyprotein, Hepatitis-c Virus Polyprotein, Hepatitis-c Virus","Antiviral, Anti-hiv Antiviral, Other Antiviral, Other Antiviral, Other","Reformulation > Oral reformulation
Small molecule > Synthetic small molecule
Small molecule > Synthetic small molecule
Small molecule; Small molecule > Synthetic small molecule","Lopinavir/Ritonavir (Tablet), Abbott",Cytochrome P450 Inhibitor; Hiv Protease Inhibitor,"Cytochrome P450 Family 3 Subfamily A Member 4; Gag-pol, Hiv-1","Alimentary/Metabolic, Other; Antiviral, Anti-hiv; Antiviral, Other",Biological > Peptide; Reformulation > Fixed-dose combination; Small molecule > Synthetic small molecule,"","","","","","","","","","","","","","","","",N/A,"","","","","","",60,"","","",(N/A),"","","","","","Subjects were randomized to receive ABT-267; ritonavir, ABT-333 (tablet); ABT-450 (tablet) or ABT-267; ritonavir, ABT-450 (tablet) coadministered with LPV/r.

Test Product(s); Dosage Regimen; Route of Administration: ABT-450 SDD tablet: 150 mg QD; PO ABT-267 HME tablet: 25 mg QD; PO ABT-333 tablet: 400 mg QD; PO Ritonavir SGC: 100 mg QD; PO LPV/r tablet: 400/100 mg BID; PO

Duration of Treatment: 28 days",Drug-drug Interaction; Open Label; Pharmacokinetics; Randomized; Safety,"This was a safety, tolerability, pharmacokinetics, open-label, randomized, drug-drug interaction study.","","",2015-05-13 08:33:18,-1,NO NCT CODE,Industry,,,,,AbbVie,
257571,M14-027 Trialtroveid-257571,"A Phase 1, Open Label, Study To Assess The Pharmacokinetics, Safety, And Tolerability Of The Co-administration Of Carbamazepine With Abt-450, Ritonavir, And Abt-267 (Abt-450/R/Abt-267), With And Without Abt-333 In Healthy Adult Subjects",I,Completed,Infectious Disease,Infectious Disease: Hcv,Hepatitis C,AbbVie,"Industry, Top 20 Pharma",United States,Dasabuvir (Tablet) Ombitasvir + Paritaprevir + Ritonavir,"HCV nonstructural protein 5B inhibitor
Cytochrome P450 inhibitor; HIV protease inhibitor; HCV nonstructural protein 3 inhibitor; HCV nonstructural protein 5A inhibitor; HCV nonstructural protein 4A inhibitor; HCV nonstructural protein inhibitor","Polyprotein, Hepatitis-c Virus Cytochrome P450 Family 3 Subfamily A Member 4; Gag-pol, Hiv-1; Polyprotein, Hepatitis-c Virus","Antiviral, Other Antiviral, Other","Small molecule; Small molecule > Synthetic small molecule
Reformulation > Fixed-dose combination",Neugeron,Voltage-gated Sodium Channel Antagonist,"",Antiepileptic,Small molecule > Synthetic small molecule,"","",Safety And Tolerability,Safety/Toxicity > Safety/Tolerability,"","","","",2013-03-27,0.82,2013-07-03,Actual,"",2014-01-27,Actual,5,Both,Adults,23,Year(S),49,Year(S),"",12,"",1,"",(N/A),"","","","","","Subjects received the following interventions:

Arm 1: ABT-450/r/ABT-267 and ABT-333 with carbamazepine.
Arm 2: ABT-450/r/ABT-267 with carbamazepine

Regimen A: Single dose of ABT-450/r/ABT-267 150/100/25 mg +ABT-333 250 mg on Day 1, Period 1, followed by a washout of 7 days.
Regimen B: Carbamazepine 200 mg once daily from day 1 to day 3 in Period 2, carbamazepine 200 mg twice daily from day 4 to day 24 in period 2 + single dose of ABT-450/r/ABT-267 150/100/25 mg +ABT-333 250 mg on day 22 in Period 2.
Regimen C: Single dose of ABT-450/r/ABT-267 150/100/25 mg on Day 1, Period 1 followed by a washout interval of at least 7 days.
Regimen D: Carbamazepine 200 mg once daily from day 1 to day 3 in Period 2, carbamazepine 200 mg twice daily from day 4 to day 24 in period 2 + single dose of ABT-450/r/ABT-267 150/100/25 mg on day 22 in Period 2.

Of note, Arm 2 was not conducted and regimen C and regimen D were not administered because per the sponsor?s assessment, the pharmacokinetic data collected from arm 1 was adequate for assessing the extent of the drug-drug interaction expected between 2 DAAs and carbamazepine.

Carbamazepine, ABT-450/r/ABT-267 and ABT-333 were taken orally with approximately 240 mL of water approximately 30 minutes after the start of breakfast in the morning.In the evening, carbamazepine was taken orally with approximately 240mL of  water approximately 30 minutes after the start of the evening snack.

Subjects received a standardized diet (approximately 2200 calories/day). The meal content was identical on the pharmacokinetic sampling days (Period 1, Day 1 and Period 2, Days 21 and 22).

Blood samples for measurement of the concentrations of ABT-450, ritonavir, ABT-333, ABT-333 M1, and ABT-267 were collected by venipuncture on the followingdays:
Arm1, Period 1, Day 1: Prior to dosing (0 hour) and upto 72 hours after dosing on day 1
Arm1, Period 2, Day 22: Prior to dosing (0 hour) and upto 72 hours after dosing on day 22

Blood samples for measurement of the concentrations of carbamazepine and its metabolite CBZE were collected on the following days in period 2:
Day 21: Prior to morning dosing (0 hour) and upto 16 hours after dosing on day 1
Day 22: Prior to morning dosing (0 hour) and upto 72 hours after dosing on day 22

Single doses of the 3D regimen (ABT-450/r/ombitasvir 150/100/25 mg + dasabuvir 250 mg) were administered alone and in the presence of steady state CBZ 200 mg BID. PK parameters were estimated by non-compartmental analyses. Safety was assessed (adverse events, vital signs, ECG, etc.) throughout the study.",Drug-drug Interaction; Open Label; Pharmacokinetics; Safety,"This was a single-center, multiple-dose, sequential, open-label, pharmacokinetics, safety, drug-drug interaction and tolerability study.","","",2015-08-20 12:59:23,-1,NO NCT CODE,Industry,,,,,AbbVie,
300863,Ctr20170243 M15-558 Trialtroveid-300863,"A Double-blind, Randomized, Placebo-controlled Phase I Study To Assess The Safety, Tolerability And Pharmacokinetics Of Abt-494 Multiple Administrations In Chinese Healthy Adult Subjects",I,Completed,Autoimmune/Inflammation,"Autoimmune/Inflammation: Atopic Dermatitis; Autoimmune/Inflammation: Crohn's Disease; Autoimmune/Inflammation: Other Inflammatory Arthritis; Autoimmune/Inflammation: Rheumatoid Arthritis; Autoimmune/Inflammation: Ulcerative Colitis","Arthritis; Arthritis, Rheumatoid; Colitis, Ulcerative; Crohn Disease; Dermatitis, Atopic; Inflammatory Bowel Diseases; Psoriatic Arthritis; Rheumatoid Arthritis",AbbVie,"Industry, Top 20 Pharma",United States,Upadacitinib (Tablet),Janus kinase 1 inhibitor,Janus Kinase 1,"Gi Inflammatory/Bowel Disorders; Antipruritic/Inflamm, Allergic; Dermatological; Immunosuppressant; Anti-inflammatory; Antiarthritic, Other",Small molecule > Synthetic small molecule,"","","","","",Gpt; P4hb,Diagnostic; Predictive; Predisposing; Prognostic,Plasma Concentration,Pharmacokinetics/Pharmacodynamics > Pk/Pd,Main End Point And Evaluation Time Bt-494 Plasma Concentration And Pharmacokinetic Parameters For Each Subject And Calculates The Summation Statistics For Each Sampling Time Point And For Each Parameter. Day 1 To Day 10,Accumulation Index Adverse Events Area Under The Curve Score Cmax,Pharmacokinetics/Pharmacodynamics > Pk/Pd Safety/Toxicity > Adverse Drug Reactions Pharmacokinetics/Pharmacodynamics > Pk/Pd Pharmacokinetics/Pharmacodynamics > Pk/Pd,"Secondary End Point And Evaluation Time In Order To Solve The Problem Of Dose Ratio, Dose-standardized Cmax, Auc And Ctrough Analysis Will Be Performed (Logarithmic Conversion Is Expected). Repeated Measurements Were Performed Using The Valley Concentrati",2017-07-20,0.33,2017-09-08,Actual,"","","",28.12,Both,Adults,18,Year(S),45,Year(S),36,36,100,1,1,Asia,China,1,"","","","Test drug: ABT-494
1. Tablets; 15 mg; orally, once every 15 mg; the administration will be completed in the morning from day 1 to day 7; after group 1 and group 2 subjects complete 15 mg and 30 mg administration, group 3 Of the subjects will be given for 7 consecutive days 45mg once a day tablet
ABT-494	Tablet; specifications 30 mg; oral, once daily, each 30 mg; will be completed in the morning from day 1 to day 7; after group 1 and group 2 subjects complete 15 mg and 30 mg administration, group 3 Of the subjects will be given for 7 consecutive days 45mg once a day tablet.

Control drug:
Placebo	Tablet; oral; administration will be completed in the morning from day 1 to day 7 of the study",Double Blind/Blinded; Multiple Arm; Pharmacodynamics; Pharmacokinetics; Placebo Control; Randomized; Safety,"A Phase I, double blind/blinded; multiple arm; pharmacodynamics; pharmacokinetics; placebo control; randomized; safety, tolerability study","","",2022-04-29 09:16:03,-1,NO NCT CODE,Industry,,,,,AbbVie,
